feed,사료|먹이|공급하다|수유|사육
ethic,가치 체계|윤리|도덕
ethnic,민족의|혈통의|종족|인종의
literary,문학의|작품|문예|문체|글쓰기
literate,읽고 쓸 줄 아는|학식있는|교양 있는
uninterested,무관심한|냉담한|이해 관계가 없는
disinterested,공평한|관심이 없는|사심 없는
economical,경제의|실속있는
economic,경제의|경기의
successive,연속적인|계속적인|연달아|잇단
successful,성공한|잘된|합격한
literal,글자 그대로의|문자의
generous,관대한|너그러운|후한|마음이 넓은|아량이 있는
liberal,진보적인|자유로운|자유주의의|개방적인|관대한
spotlight,스포트라이트|…을 스포트라이트로 비추다|집중 광선
flashlight,손전등|플래시
lightness,밝기|기민함|우아함
lighthouse,등대
fearful,두려워하는|우려되는|무서운
harmful,유해한|해로운|해가 되는
painful,고통스러운|아픈|힘드는|괴로운
mindful,주의하는|염두에 두는|신경을 쓰는
hopeful,희망적인|기대하는|유망한|가망있는
useful,유용한|쓸모 있는|도움이 되는|유익한|실용적인
powerful,강력한|힘있는|센|유력한|파워풀한
reunify,…을 재통합하다|다시 통일하다
peaceful,평화적인|평화로운|편안한
rating,등급|평가|시청률|평점
dating,날짜 기입|선일부|연대 결정
funding,자금 제공|지원|투자|기금|재정
building,건물|건축|빌딩
clothing,의류|옷|복장
kicking,a rhythmic thrusting movement of the legs as in swimming or calisthenics
beginning,시작|처음|초|기원|개시
meaning,의미|의미 있는|뜻|의도|중요성
dawn,새벽|시작|동이 트다|생각나다
genuinely,성실하게|순수하게|진실로
qualitative,질적인|정성의|성질의
fairly,꽤|공정하게|공평하게|완전히|적절하게
unfortunately,불행하게도|안타깝게도|유감스럽게도
reasonably,합리적으로|상당히|이성적으로|꽤|비교적
deeply,깊이|몹시|정말|깊숙이|심도 있게
surely,분명히|확실히|물론|정말로|틀림없이
personally,개인적으로|직접|나로서는|스스로
physically,자연 과학적으로|자연의 법칙에 따라|신체적으로
curly,머리칼이 곱슬곱슬한|동그랗게 말린
barber,이발사|바버
hairy,털투성이의|위험한
mastery,숙달|전문기술|우월|탁월
artery,동맥
lottery,복권|로또|추첨
pottery,도자기|도기|도예
monastery,수도원|수도사의 단체|수사 단체
mystery,미스터리|신비|수수께끼|추리|비밀
put up with,참다|감수하다|견디다
heat,열|가열하다|난방|뜨거워지다|더위
cube,큐브|정육면체|각설탕
cemetery,묘지| 묘역|무덤
lately,최근에|요즘|근래|요새
prettily,곱게|예쁘게|귀엽게
rightly,올바르게|정의롭게|공정하게
highly,매우|높이|고도로|가장|심각한
grass,풀|잔디|목장
freely,아낌없이|자유롭게|기꺼이
addictive,중독성의|습관화된|남을 사로잡는
persuasive,설득력 있는|설득적인|유인
decisive,결정적인|단호한
supportive,부양하는|지지하는|유지하는
competitive,경쟁의|경쟁적인|경쟁력을 지닌|경쟁심이 강한
responsive,반응하는|대응하는|응답하는|민감한
sensitive,민감한|감성적인|섬세한|신경을 쓰는|신경질적인
aggressive,공격적인|적극적인|활동적인|과감한|침략
attractive,매력적인|매혹적인
protectionism,the policy of imposing duties or quotas on imports in order to protect home industries from overseas competition
protective,보호하는|방어적인
dishonest,부정직한|부정한|눈속임의|불성실한
disobey,복종하지 않다|위반하다|거역하다
